marker_index	num_CpG_sites	sites_methylation_status
62	4	1101
63	8	00000000
63	10	1000001000
63	10	1000001000
63	4	1111
63	4	0000
63	3	000
63	4	0000
63	3	000
63	8	00000000
63	12	000000000000
63	10	0000000000
63	9	000000000
63	3	000
63	5	00000
63	8	10000000
63	5	00000
63	5	11001
63	3	000
63	3	000
63	3	000
63	3	000
63	4	0000
63	7	0000000
63	7	0000110
63	8	00000000
63	8	00000000
63	8	00000000
64	6	000000
64	6	000000
64	6	000000
64	7	0100000
64	10	0110000000
64	8	11100000
64	9	000000000
64	8	00000000
64	6	000000
64	6	000000
64	8	00010000
64	10	0000011110
64	10	0000000000
64	4	0000
64	4	0100
64	3	000
65	1	0
65	3	000
66	1	0
66	1	0
66	8	00000000
66	10	0000000000
66	10	0000000000
66	9	000000000
66	8	00000000
66	8	00000010
66	9	000000000
66	8	11100000
66	8	00000000
66	6	000000
66	10	0000000001
66	11	00000000000
66	3	000
67	2	00
67	6	000000
67	7	0000000
67	10	1111101011
68	2	00
68	3	000
68	3	000
68	8	00000000
68	4	0000
69	9	000000000
69	5	00110
69	5	00110
69	5	01000
69	4	1000
69	4	0000
69	4	0000
69	3	000
69	6	000000
69	5	00000
69	6	000000
69	6	000000
69	6	000000
69	8	00000000
69	5	00000
69	4	0000
70	1	0
70	1	0
70	7	0000000
70	9	000000000
70	12	000000000000
70	9	000000000
70	5	00000
70	5	11101
70	5	00000
70	5	00000
70	5	00010
71	10	0000000000
71	10	0000000000
71	13	0000000000000
71	9	111111111
71	9	000000000
71	4	1111
71	3	111
72	7	1011111
72	9	111111001
72	7	0000000
72	9	111111011
72	7	1010110
72	7	1110011
73	3	111
73	3	101
73	3	011
73	4	1111
73	4	0111
74	6	000000
74	14	01000001001011
74	13	1011100000101
74	16	0010000000000000
74	9	000000000
74	13	0000000000000
74	12	000000000000
74	9	000000000
75	10	0010000000
75	7	1100000
75	9	000000000
75	6	000001
75	5	00000
75	4	0011
75	4	0000
75	8	00101110
75	4	1101
75	3	100
76	3	100
76	3	111
76	7	1111111
76	6	111111
76	5	11111
76	4	1111
76	3	111
76	6	111111
76	3	000
76	7	1111111
76	7	1111111
76	7	1111001
77	4	1111
77	5	00000
78	1	1
78	1	1
78	1	1
78	3	011
78	6	111110
78	3	000
78	8	11111111
78	9	111111111
78	11	11111111111
78	9	111111111
78	8	11111111
78	8	00000000
78	6	100000
79	3	000
79	6	111111
79	7	1111111
79	5	11101
79	4	0000
79	3	000
79	4	0001
79	5	11100
79	9	111111111
79	9	111111111
79	9	111111111
79	8	11011011
79	8	11111111
79	6	000000
79	6	000011
79	7	1101111
81	4	1111
81	4	1111
81	3	101
81	3	111
81	3	000
82	6	000000
82	13	0000000000000
82	9	000000000
82	4	1011
82	3	101
82	3	111
82	3	011
82	3	011
82	3	011
82	3	101
83	3	011
83	5	01111
83	5	11111
84	1	1
84	1	1
84	10	0111111111
84	9	101110010
84	9	111100000
84	8	11111110
84	6	111111
84	5	10111
84	5	11110
84	6	111011
85	9	001100000
86	4	1111
86	4	1111
86	14	11111111111111
86	15	111101111111111
86	14	11101111111111
86	16	1111111111111111
86	11	11111111111
86	6	110111
86	6	111111
86	6	011111
87	2	11
87	2	11
87	2	11
87	2	11
87	2	11
87	4	1111
87	4	1111
87	5	11111
87	3	111
88	4	1001
89	4	0110
89	4	0110
89	8	00000000
89	9	000000000
90	7	0000000
90	10	1111111110
90	8	01111111
90	8	10111111
90	7	1111111
90	7	1111111
90	5	11110
90	4	1111
91	5	11111
91	5	11111
91	7	1101111
91	6	111111
91	4	1111
91	4	1111
91	5	00000
91	3	000
92	5	00000
92	3	110
92	4	1000
92	3	000
92	4	0000
92	9	000000000
92	6	000000
92	5	00000
93	2	11
93	2	11
93	6	111111
93	4	1111
93	4	1111
93	3	000
93	4	0111
93	5	11111
94	5	11111
94	4	1111
94	4	1010
94	3	010
95	2	11
95	5	11111
95	6	110110
95	5	11101
95	4	1101
95	3	111
95	3	100
96	4	1111
96	4	1111
96	3	111
96	3	111
96	3	111
96	3	111
97	3	000
97	15	000000000000000
97	10	0000000000
97	8	00000000
97	6	000000
98	7	0010010
98	3	000
99	2	00
99	9	000000000
99	10	0000000000
99	14	00000000000000
99	4	0000
99	14	00000000000000
99	14	00001100000000
99	10	0000000000
100	8	11111111
100	5	00000
100	6	111111
100	4	0000
100	7	1111111
101	8	00000000
101	3	000
102	7	0000000
103	1	1
103	6	011111
103	4	1111
103	6	111111
103	5	11111
103	3	111
104	3	000
104	6	000000
104	8	11110011
104	8	11011111
104	6	111011
104	7	1011111
104	9	111111111
104	5	11111
104	5	11111
104	5	11101
105	8	11111111
106	9	000000000
106	9	000000000
106	9	000000000
