markerName	methState
27	11111011
27	00100101
27	11110000
27	11111101
27	11001100
27	11111101
27	00111101
27	11110111
27	11101111
27	11111101
27	10110111
27	01101110
27	11111110
27	11110110
27	11111011
27	11101011
27	10111111
27	11101101
27	11100111
27	10101111
27	11111111
27	11111011
61	111111011111
61	111111111111
61	111111111110
61	111111111111
61	101111111111
61	011111111111
61	111111111111
61	111111111111
61	11011111101
61	111110110111
61	101111111111
61	111111111111
61	111110111111
61	111111111111
63	11111
63	00111
63	11111
63	11111
63	11101
63	11111
63	11111
63	11011
63	11111
63	11111
63	11111
63	11111
63	11111
63	10111
63	11111
75	111111111111
75	01111111101111
75	11111111111111
75	11111111111111
75	11111111111111
75	11111101111111
75	11111111011111
75	11111111101111
75	11111111111111
75	1111111111111
75	11111111111111
75	01111111111110
75	10101111111110
75	11111101111111
75	1111111111111
75	11111111111110
75	11111111110111
75	11111111111111
75	11111111111011
75	11111111111111
75	11111111111111
75	11111111111111
84	00111111111
84	11111111111
84	11111111111
84	11111111111
84	11111111111
84	11111111111
84	111111111
84	01111111111
84	11111111111
84	11111111111
84	11111111111
84	11111111011
84	11111111111
84	11111111110
84	11111111111
84	11111111111
84	11111111101
84	11111110111
84	11011111111
88	11111
88	11111
88	11111
88	11111
88	11111
88	11111
88	11111
88	11011
88	11111
88	11110
88	01101
88	11111
88	11111
88	10111
88	11111
88	11111
88	11111
88	11111
88	11111
88	11110
88	11110
88	11110
88	11111
88	10111
88	11111
88	11111
88	11111
88	11111
88	11111
88	11111
88	11111
88	11111
88	11111
88	11111
88	01111
88	11111
88	11111
88	11111
88	11111
88	11011
88	11111
88	11111
88	11111
88	11111
88	11111
88	11111
88	11111
88	10111
88	01111
88	10101
88	11111
88	11011
88	11111
88	10111
88	01011
88	11011
88	11111
88	11111
88	11111
88	11111
88	11111
88	11111
88	11111
88	11111
88	11111
88	11111
88	11111
88	11111
88	11111
88	11111
88	10111
88	11111
88	11111
88	11111
88	11111
88	11111
88	11111
88	11111
88	11111
88	11111
88	11111
88	11111
88	11111
88	10111
88	11101
88	11111
88	11111
88	01111
88	11111
88	11110
88	11111
88	11101
88	01111
88	11111
88	11111
88	11111
88	11111
88	11111
88	11111
88	11111
88	01101
88	11111
88	11111
88	11111
88	11111
88	01111
88	11111
88	11101
88	11111
88	11111
88	11111
88	10101
88	11111
88	11111
88	11111
88	11111
88	11111
88	11111
88	11111
88	11111
88	11101
88	11111
97	1111
97	1111
97	1111
97	0111
97	1111
97	1111
97	1111
97	1111
97	1111
97	1011
97	1111
97	1111
97	1111
97	1111
97	1111
97	1111
97	1111
97	1111
97	0111
97	1111
